CustomerID,Recency,Frequency,Monetary,Segment
12347,2,7,4310.0,1
12348,75,4,1437.24,0
12349,19,1,1417.6,3
12350,310,1,294.4,2
12352,36,7,1385.74,0
12353,204,1,89.0,2
12354,232,1,1079.4,2
12355,214,1,459.4,2
12356,23,3,2487.43,0
12357,33,1,6207.67,0
12358,2,2,928.0600000000001,3
12359,58,4,5042.68,0
12360,52,3,2302.06,0
12361,287,1,174.9,2
12362,3,10,4737.23,1
12363,110,2,552.0,2
12364,8,4,1208.1,3
12365,291,1,320.69,2
12367,4,1,150.9,3
12370,51,4,3425.69,0
12371,60,1,1527.96,0
12372,72,3,1196.04,0
12373,311,1,324.6,2
12374,25,1,622.93,3
12375,11,2,377.5,3
12377,315,2,1548.12,0
12378,130,1,4008.62,0
12379,82,2,777.24,0
12380,22,4,2427.81,0
12381,5,3,1474.81,3
12383,185,5,1628.56,0
12384,29,2,425.27000000000004,3
12386,338,2,401.9,2
12388,16,6,2780.66,1
12390,80,1,504.84000000000003,2
12391,22,1,460.89,3
12393,72,4,1582.6000000000001,0
12394,64,2,1080.48,0
12395,19,12,2642.68,1
12397,36,2,2214.9,0
12398,46,1,1435.66,0
12399,119,4,1033.65,0
12401,303,1,69.3,2
12402,323,1,195.6,2
12403,50,1,391.7,2
12405,149,1,1390.39,2
12406,22,2,3415.3,0
12407,50,5,1507.1200000000001,0
12408,33,5,2618.55,0
12409,79,3,11072.67,0
12410,309,2,533.33,2
12412,75,3,1142.88,0
12413,67,3,686.1,0
12414,217,3,442.41,2
12415,24,20,119151.09,1
12417,3,9,3226.1,1
12418,113,1,668.58,2
12420,64,1,600.39,2
12421,16,4,639.04,3
12422,96,3,683.5600000000001,0
12423,1,8,1634.31,1
12424,163,2,1760.96,0
12425,78,1,777.2,2
12426,195,1,510.73,2
12427,22,3,699.8,3
12428,26,8,6405.26,1
12429,9,4,3388.4,1
12430,43,1,216.4,2
12431,36,15,6382.45,1
12432,43,4,4089.52,0
12433,1,7,13375.87,1
12434,85,2,806.14,0
12435,80,2,7829.89,0
12436,100,1,429.01000000000005,2
12437,2,18,4447.41,1
12438,14,2,2466.85,0
12441,367,1,155.55,2
12442,3,1,144.06,3
12444,21,5,4085.46,0
12445,22,1,77.4,3
12446,58,1,1002.3100000000001,0
12447,243,1,431.49,2
12448,44,1,300.45,2
12449,22,4,3596.29,0
12450,156,2,197.88,2
12451,11,5,8995.52,1
12452,17,1,348.57,3
12453,134,1,707.09,2
12454,56,1,3110.84,0
12455,73,5,2339.86,0
12456,44,3,2581.04,0
12457,66,6,2043.23,0
12458,71,2,787.4,0
12461,155,1,626.88,2
12462,19,2,937.59,3
12463,53,4,1200.78,0
12464,10,8,957.05,1
12465,17,2,682.1899999999999,3
12468,188,2,657.54,2
12471,2,27,17424.05,1
12472,32,7,6068.11,1
12473,54,3,2596.23,0
12474,17,18,6709.84,1
12475,54,1,669.38,2
12476,16,11,5898.42,1
12477,23,6,13219.74,1
12478,4,1,545.99,3
12479,11,1,473.2,3
12480,28,4,2885.63,0
12481,23,10,5020.32,1
12483,17,8,1910.98,1
12484,35,4,3953.72,0
12488,10,3,1244.66,3
12489,336,1,298.93,2
12490,5,10,4859.93,1
12491,39,1,424.40000000000003,3
12492,63,2,227.21,2
12493,166,2,379.74,2
12494,16,7,1084.1000000000001,0
12497,82,1,953.1,2
12498,21,3,349.70000000000005,3
12500,23,11,4059.82,1
12501,337,1,2025.39,2
12502,96,5,2995.87,0
12504,18,2,428.04999999999995,3
12506,233,1,73.5,2
12507,134,3,1052.81,0
12508,26,2,398.27,3
12509,284,1,158.5,2
12510,143,2,814.5699999999999,2
12512,66,2,138.03,2
12513,113,1,558.29,2
12514,267,1,1017.68,2
12515,353,1,278.7,2
12516,78,2,1186.06,0
12517,28,4,2322.84,0
12518,1,5,1840.89,1
12519,64,1,286.84,2
12520,79,5,2346.2599999999998,0
12521,143,1,545.68,2
12522,39,2,156.72,3
12523,19,11,1699.77,1
12524,9,8,3945.72,1
12526,1,3,1172.66,3
12527,82,3,330.71000000000004,2
12528,9,6,1645.48,1
12530,60,4,1360.48,0
12531,15,1,125.22,3
12532,30,1,313.83000000000004,3
12534,131,1,981.18,2
12535,92,2,716.35,0
12536,59,1,4279.71,0
12538,29,1,363.95,3
12539,22,4,5568.35,0
12540,20,17,11580.24,1
12541,30,3,841.18,0
12544,36,1,316.7,3
12545,75,2,832.39,0
12546,47,2,1021.5,0
12547,198,2,151.79999999999998,2
12548,166,1,67.19999999999999,2
12550,79,1,824.83,2
12551,358,1,168.0,2
12552,40,1,317.82,3
12553,8,10,3278.28,1
12556,50,2,603.71,0
12557,16,5,11990.960000000001,1
12558,8,1,269.96,3
12559,311,2,525.71,2
12560,5,2,1918.01,3
12561,303,1,238.85,2
12562,8,7,3385.7400000000002,1
12564,261,1,402.9,2
12565,289,1,145.92,2
12566,86,1,297.65,2
12567,23,10,8437.48,1
12569,2,32,3152.69,1
12571,40,2,519.61,3
12572,9,2,912.42,3
12573,227,1,160.54000000000002,2
12574,316,1,182.45000000000002,2
12576,36,5,1315.83,0
12577,35,3,653.85,0
12578,21,2,2402.51,0
12579,78,1,386.42,2
12580,247,1,379.7,2
12581,40,1,179.71,2
12582,239,2,351.36,2
12583,3,15,6705.38,1
12584,4,9,2254.15,1
12585,234,2,1824.1,0
12586,17,1,196.94000000000003,3
12587,8,1,104.0,3
12588,39,1,174.89999999999998,2
12589,29,2,574.68,3
12590,211,1,8951.26,0
12591,317,1,368.85,2
12592,92,2,401.6,2
12593,109,3,382.09999999999997,2
12594,38,9,3208.2200000000003,1
12596,51,2,450.27,3
12597,19,4,3195.22,0
12598,10,7,2807.08,1
12599,29,7,888.58,0
12600,29,10,2311.04,1
12601,190,5,447.11,0
12602,59,1,153.12,2
12603,22,1,613.1999999999999,3
